,Country_Region,Province_State,lat,lon,continent,population,area,density
113,Eswatini,,-26.5225,31.4659,Africa,1148130,17364,66.12
114,Ethiopia,,9.145,40.4897,Africa,112078730,1104300,101.49
115,Fiji,,-17.7134,178.065,Oceania,889953,18272,48.71
116,Finland,,64.0,26.0,Europe,5532156,338424,16.35
117,France,French Guiana,3.9339,-53.1258,Europe,269352,83534,3.22
118,France,French Polynesia,-17.6797,-149.4068,Europe,275918,4167,66.22
119,France,Guadeloupe,16.25,-61.5833,Europe,394110,1628,242.08
120,France,Martinique,14.6415,-61.0242,Europe,376480,1128,333.76
121,France,Mayotte,-12.8275,45.1662,Europe,256518,374,685.88
122,France,New Caledonia,-20.9043,165.618,Europe,271407,18576,14.61
123,France,Reunion,-21.1351,55.2471,Europe,852924,2504,340.62
124,France,Saint Barthelemy,17.9,-62.8333,Europe,9793,25,391.72
125,France,Saint Pierre and Miquelon,46.8852,-56.3159,Europe,6008,242,24.83
126,France,St Martin,18.0708,-63.0501,Europe,77741,53,1466.81
127,France,,46.2276,2.2137,Europe,65129728,640679,101.66
128,Gabon,,-0.8037,11.6094,Africa,2172579,267668,8.12
129,Gambia,,13.4432,-15.3101,Africa,2347706,11295,207.85
130,Georgia,,42.3154,43.3569,Asia,3996765,69700,57.34
131,Germany,,51.0,9.0,Europe,83517045,357114,233.87
132,Ghana,,7.9465,-1.0232,Africa,28833629,238533,120.88
133,Greece,,39.0742,21.8243,Europe,10473455,131957,79.37
134,Grenada,,12.1165,-61.679,Americas,112003,344,325.59
135,Guatemala,,15.7835,-90.2308,Americas,17581472,108889,161.46
136,Guinea,,9.9456,-9.6966,Africa,12771246,245857,51.95
137,Guinea-Bissau,,11.8037,-15.1804,Africa,1920922,36125,53.17
138,Guyana,,5.0,-58.75,Americas,782766,214969,3.64
139,Haiti,,18.9712,-72.2852,Americas,11263770,27750,405.9
140,Holy See,,41.9029,12.4534,Europe,799,0,1815.91
141,Honduras,,15.2,-86.2419,Americas,9746117,112492,86.64
142,Hungary,,47.1625,19.5033,Europe,9684679,93028,104.1
143,Iceland,,64.9631,-19.0208,Europe,339031,103000,3.29
144,India,,21.0,78.0,Asia,1366417754,3287263,415.67
145,Indonesia,,-0.7893,113.9213,Asia,270625568,1910931,141.62
146,Iran,,32.0,53.0,Asia,82913906,1648195,50.31
147,Iraq,,33.0,44.0,Asia,39309783,438317,89.68
148,Ireland,,53.1424,-7.6921,Europe,4882495,70273,69.48
149,Israel,,31.0,35.0,Asia,8519377,20770,410.18
150,Italy,,43.0,12.0,Europe,60550075,301339,200.94
151,Jamaica,,18.1096,-77.2975,Americas,2948279,10991,268.24
152,Japan,,36.0,138.0,Asia,126860301,377975,335.63
153,Jordan,,31.24,36.51,Asia,10101694,89342,113.07
154,Kazakhstan,,48.0196,66.9237,Asia,18551427,2724900,6.81
155,Kenya,,-0.0236,37.9062,Africa,52573973,580367,90.59
156,"Korea, South",,36.0,128.0,Asia,51225308,100210,511.18
157,Kosovo,,42.6026,20.903,Europe,1810463,10887,166.3
158,Kuwait,,29.5,47.75,Asia,4207083,17818,236.11
159,Kyrgyzstan,,41.2044,74.7661,Asia,6415850,199951,32.09
160,Laos,,19.8563,102.4955,Asia,7169455,236800,30.28
161,Latvia,,56.8796,24.6032,Europe,1906743,64559,29.53
162,Lebanon,,33.8547,35.8623,Asia,6855713,10452,655.92
163,Liberia,,6.4281,-9.4295,Africa,4937374,111369,44.33
164,Libya,,26.3351,17.2283,Africa,6777452,1759540,3.85
165,Liechtenstein,,47.14,9.55,Europe,38019,160,237.62
166,Lithuania,,55.1694,23.8813,Europe,2759627,65300,42.26
167,Luxembourg,,49.8153,6.1296,Europe,615729,2586,238.1
168,MS Zaandam,,0.0,0.0,Oceania,1045,1,1045.0
169,Madagascar,,-18.7669,46.8691,Africa,26969307,587041,45.94
170,Malawi,,-13.2543,34.3015,Africa,17563749,118484,148.24
171,Malaysia,,2.5,112.5,Asia,31949777,330803,96.58
172,Maldives,,3.2028,73.2207,Asia,530953,300,1769.84
173,Mali,,17.5707,-3.9962,Africa,19658031,1240192,15.85
174,Malta,,35.9375,14.3754,Europe,440372,316,1393.58
175,Mauritania,,21.0079,10.9408,Africa,4525696,1030700,4.39
176,Mauritius,,-20.2,57.5,Africa,1198575,2040,587.54
177,Mexico,,23.6345,-102.5528,Americas,127575529,1964375,64.94
178,Moldova,,47.4116,28.3699,Europe,4043263,33846,119.46
179,Monaco,,43.7333,7.4167,Europe,38964,2,19289.11
180,Mongolia,,46.8625,103.8467,Asia,3225167,1564110,2.06
181,Montenegro,,42.5,19.3,Europe,627987,13812,45.47
182,Morocco,,31.7917,-7.0926,Africa,36471769,446550,81.67
183,Mozambique,,-18.6657,35.5296,Africa,30366036,801590,37.88
184,Namibia,,-22.9576,18.4904,Africa,2494530,825615,3.02
185,Nepal,,28.1667,84.25,Asia,28608710,147181,194.38
186,Netherlands,Aruba,12.5186,-70.0358,Europe,112309,180,623.94
187,Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,Europe,25157,328,76.7
188,Netherlands,Curacao,12.1696,-68.99,Europe,158665,444,357.35
189,Netherlands,Sint Maarten,18.0425,-63.0548,Europe,41486,34,1220.18
190,Netherlands,,52.1326,5.2913,Europe,17097130,41850,408.53
191,New Zealand,,-40.9006,174.886,Oceania,4783063,270467,17.68
192,Nicaragua,,12.8654,-85.2072,Americas,6545502,130373,50.21
193,Niger,,17.6078,8.0817,Africa,23310715,1267000,18.4
194,Nigeria,,9.082,8.6753,Africa,200963599,923768,217.55
195,North Macedonia,,41.6086,21.7453,Europe,2083459,25713,81.03
196,Norway,,60.472,8.4689,Europe,5378857,323802,16.61
197,Oman,,21.0,57.0,Asia,4974986,309500,16.07
198,Pakistan,,30.3753,69.3451,Asia,216565318,907132,238.74
199,Panama,,8.538,-80.7821,Americas,4246439,75417,56.31
200,Papua New Guinea,,-6.315,143.9555,Oceania,8776109,462840,18.96
201,Paraguay,,-23.4425,-58.4438,Americas,7044636,406752,17.32
202,Peru,,-9.19,-75.0152,Americas,32510453,1285216,25.3
203,Philippines,,13.0,122.0,Asia,108116615,300000,360.39
204,Poland,,51.9194,19.1451,Europe,37887768,312696,121.16
205,Portugal,,39.3999,-8.2245,Europe,10226187,92090,111.05
206,Qatar,,25.3548,51.1839,Asia,2832067,11586,244.44
207,Romania,,45.9432,24.9668,Europe,19364557,238397,81.23
208,Russia,,60.0,90.0,Europe,145872256,17098246,8.53
209,Rwanda,,-1.9403,29.8739,Africa,12626950,26338,479.42
210,Saint Kitts and Nevis,,17.3578,-62.783,Americas,52823,261,202.39
211,Saint Lucia,,13.9094,-60.9789,Americas,182790,616,296.74
212,Saint Vincent and the Grenadines,,12.9843,-61.2872,Americas,110589,389,284.29
213,San Marino,,43.9424,12.4578,Europe,33860,61,555.08
214,Sao Tome and Principe,,0.1864,6.6131,Africa,211028,1001,210.82
215,Saudi Arabia,,24.0,45.0,Asia,34268528,2149690,15.94
216,Senegal,,14.4974,-14.4524,Africa,16296364,196722,82.84
217,Serbia,,44.0165,21.0059,Europe,8772235,88361,99.28
218,Seychelles,,-4.6796,55.492,Africa,97739,452,216.24
219,Sierra Leone,,8.4606,-11.7799,Africa,7092113,71740,98.86
220,Singapore,,1.2833,103.8333,Asia,5804337,716,8106.62
221,Slovakia,,48.669,19.699,Europe,5457013,49037,111.28
222,Slovenia,,46.1512,14.9955,Europe,2078654,20273,102.53
223,Somalia,,5.1521,46.1996,Africa,15442905,637657,24.22
224,South Africa,,-30.5595,22.9375,Africa,58558270,1221037,47.96
225,South Sudan,,6.877,31.307,Africa,10975927,619745,17.71
226,Spain,,40.0,-4.0,Europe,46736776,505992,92.37
227,Sri Lanka,,7.0,81.0,Asia,21323733,65610,325.01
228,Sudan,,12.8628,30.2176,Africa,42813238,1861484,23.0
229,Suriname,,3.9193,-56.0278,Americas,581372,163820,3.55
230,Sweden,,63.0,16.0,Europe,10036379,450295,22.29
231,Switzerland,,46.8182,8.2275,Europe,8591365,41284,208.1
232,Syria,,34.8021,38.9968,Asia,17070135,185180,92.18
233,Taiwan*,,23.7,121.0,Asia,23773876,36193,656.86
234,Tajikistan,,38.861,71.2761,Asia,9275827,143100,64.82
235,Tanzania,,-6.369,34.8888,Africa,58005463,945087,61.38
236,Thailand,,15.0,101.0,Asia,69037513,513120,134.54
237,Timor-Leste,,-8.8742,125.7275,Asia,1293119,14919,86.68
238,Togo,,8.6195,0.8248,Africa,8082366,56785,142.33
239,Trinidad and Tobago,,10.6918,-61.2225,Americas,1394973,5130,271.92
240,Tunisia,,34.0,9.0,Africa,11694719,163610,71.48
241,Turkey,,38.9637,35.2433,Asia,83429615,783562,106.47
242,US,Alabama,32.3182,-86.9023,Americas,4903185,135767,36.11
243,US,Alaska,61.3707,-152.4044,Americas,731545,1723337,0.42
244,US,Arizona,33.7298,-111.4312,Americas,7278717,295234,24.65
245,US,Arkansas,34.9697,-92.3731,Americas,3017825,137732,21.91
246,US,California,36.1162,-119.6816,Americas,39512223,423967,93.2
247,US,Colorado,39.0598,-105.3111,Americas,5758736,269601,21.36
248,US,Connecticut,41.5978,-72.7554,Americas,3565287,14357,248.33
249,US,Delaware,39.3185,-75.5071,Americas,973764,6446,151.06
250,US,District of Columbia,38.8974,-77.0268,Americas,705749,177,3987.28
251,US,Florida,27.7663,-81.6868,Americas,21477737,170312,126.11
252,US,Georgia,33.0406,-83.6431,Americas,10617423,153910,68.98
253,US,Guam,13.4443,144.7937,Americas,165718,1478,112.12
254,US,Hawaii,21.0943,-157.4983,Americas,1415872,28313,50.01
255,US,Idaho,44.2405,-114.4788,Americas,1787147,216443,8.26
256,US,Illinois,40.3495,-88.9861,Americas,12671821,149995,84.48
257,US,Indiana,39.8494,-86.2583,Americas,6732219,94326,71.37
258,US,Iowa,42.0115,-93.2105,Americas,3155070,145746,21.65
259,US,Kansas,38.5266,-96.7265,Americas,2913314,213100,13.67
260,US,Kentucky,37.6681,-84.6701,Americas,4467673,104656,42.69
261,US,Louisiana,31.1695,-91.8678,Americas,4648794,135659,34.27
262,US,Maine,44.6939,-69.3819,Americas,1344212,91633,14.67
263,US,Maryland,39.0639,-76.8021,Americas,6045680,32131,188.16
264,US,Massachusetts,42.2302,-71.5301,Americas,6949503,27336,254.23
265,US,Michigan,43.3266,-84.5361,Americas,9986857,250487,39.87
266,US,Minnesota,45.6945,-93.9002,Americas,5639632,225163,25.05
267,US,Mississippi,32.7416,-89.6787,Americas,2976149,125438,23.73
268,US,Missouri,38.4561,-92.2884,Americas,6137428,180540,33.99
269,US,Montana,46.9219,-110.4544,Americas,1068778,380831,2.81
270,US,Nebraska,41.1254,-98.2681,Americas,1934408,200330,9.66
271,US,Nevada,38.3135,-117.0554,Americas,3080156,286380,10.76
272,US,New Hampshire,43.4525,-71.5639,Americas,1359711,24214,56.15
273,US,New Jersey,40.2989,-74.521,Americas,8882190,22591,393.17
274,US,New Mexico,34.8405,-106.2485,Americas,2096829,314917,6.66
275,US,New York,42.1657,-74.9481,Americas,19453561,141297,137.68
276,US,North Carolina,35.6301,-79.8064,Americas,10488084,139391,75.24
277,US,North Dakota,47.5289,-99.784,Americas,762062,183108,4.16
278,US,Ohio,40.3888,-82.7649,Americas,11689100,116098,100.68
279,US,Oklahoma,35.5653,-96.9289,Americas,3956971,181037,21.86
280,US,Oregon,44.572,-122.0709,Americas,4217737,254799,16.55
281,US,Pennsylvania,40.5908,-77.2098,Americas,12801989,119280,107.33
282,US,Puerto Rico,18.2208,-66.5901,Americas,3193694,13791,231.58
283,US,Rhode Island,41.6809,-71.5118,Americas,1059361,4001,264.77
284,US,South Carolina,33.8569,-80.945,Americas,5148714,82933,62.08
285,US,South Dakota,44.2998,-99.4388,Americas,884659,199729,4.43
286,US,Tennessee,35.7478,-86.6923,Americas,6833174,109153,62.6
287,US,Texas,31.0545,-97.5635,Americas,28995881,695662,41.68
288,US,Utah,40.15,-111.8624,Americas,3205958,219882,14.58
289,US,Vermont,44.0459,-72.7107,Americas,623989,24906,25.05
290,US,Virgin Islands,18.3358,-64.8963,Americas,104914,1898,55.28
291,US,Virginia,37.7693,-78.17,Americas,8535519,110787,77.04
292,US,Washington,47.4009,-121.4905,Americas,7614893,184661,41.24
293,US,West Virginia,38.4912,-80.9545,Americas,1792065,62756,28.56
294,US,Wisconsin,44.2685,-89.6165,Americas,5822434,169635,34.32
295,US,Wyoming,42.756,-107.3025,Americas,578759,253335,2.28
296,US,,37.0902,-95.7129,Americas,328239523,3796742,86.45
297,Uganda,,1.0,32.0,Africa,44269594,241550,183.27
298,Ukraine,,48.3794,31.1656,Europe,43993638,603500,72.9
299,United Arab Emirates,,24.0,54.0,Asia,9770529,83600,116.87
300,United Kingdom,Anguilla,18.2206,-63.0686,Europe,14731,91,161.88
301,United Kingdom,Bermuda,32.3078,-64.7505,Europe,71176,53,1342.94
302,United Kingdom,British Virgin Islands,18.4207,-64.64,Europe,31758,153,207.57
303,United Kingdom,Cayman Islands,19.3133,-81.2546,Europe,68076,264,257.86
304,United Kingdom,Channel Islands,49.3723,-2.3644,Europe,170499,118,1444.91
305,United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,Europe,3398,12200,0.28
306,United Kingdom,Gibraltar,36.1408,-5.3536,Europe,32194,7,4599.14
307,United Kingdom,Isle of Man,54.2361,-4.5481,Europe,83314,572,145.65
308,United Kingdom,Montserrat,16.7425,-62.1874,Europe,4649,102,45.58
309,United Kingdom,Turks and Caicos Islands,21.694,71.7979,Europe,31458,616,51.07
310,United Kingdom,,55.3781,-3.436,Europe,67530172,242495,278.48
311,Uruguay,,-32.5228,-55.7658,Americas,3461734,176215,19.64
312,Uzbekistan,,41.3775,64.5853,Asia,32981716,447400,73.72
313,Venezuela,,6.4238,-66.5897,Americas,28515829,916445,31.12
314,Vietnam,,16.0,108.0,Asia,96462106,331212,291.24
315,West Bank and Gaza,,31.6,34.8,Asia,5190143,6020,862.15
316,Western Sahara,,24.2155,-12.8858,Africa,567402,266000,2.13
317,Yemen,,15.5527,48.5164,Asia,28498683,527968,53.98
318,Zambia,,-15.4167,28.2833,Africa,17861030,752612,23.73
319,Zimbabwe,,-20.0,30.0,Africa,14645468,390757,37.48
